,name,id,team,position,mean_points,mean_minutes,mean_goals_scored,mean_assists,mean_clean_sheets,mean_goals_conceded,mean_own_goals,mean_saves,mean_bonus,mean_bps,mean_influence,mean_creativity,mean_threat,mean_ict,mean_xg,mean_xa,mean_xgi,mean_xgc,mean_opp_att,mean_opp_def,latest_points
0,Granit Xhaka,3,Arsenal,MID,4.8,89.4,0.2,0.4,0.4,0.8,0.0,0.0,0.4,19.0,23.6,24.9,11.2,5.9799999999999995,0.094,0.076,0.17,0.642,1076.0,1100.0,2
0,Granit Xhaka,3,Arsenal,MID,4.8,89.4,0.2,0.4,0.2,1.4,0.0,0.0,0.4,20.2,23.32,24.880000000000003,20.0,6.82,0.126,0.09,0.21600000000000003,0.71,1082.0,1121.0,5
0,Granit Xhaka,3,Arsenal,MID,3.4,89.4,0.0,0.4,0.4,1.0,0.0,0.0,0.0,18.0,17.36,27.020000000000003,15.0,5.9399999999999995,0.057999999999999996,0.12,0.178,0.724,1080.0,1123.0,9
0,Granit Xhaka,3,Arsenal,MID,4.0,90.0,0.2,0.2,0.2,1.2,0.0,0.0,0.4,18.8,19.44,24.26,20.0,6.36,0.124,0.132,0.256,0.9860000000000001,1118.0,1159.0,2
0,Granit Xhaka,3,Arsenal,MID,4.0,90.0,0.2,0.2,0.2,1.4,0.0,0.0,0.4,18.6,21.119999999999997,20.72,21.2,6.3,0.122,0.168,0.29,1.046,1155.0,1191.0,3
0,Granit Xhaka,3,Arsenal,MID,4.2,90.0,0.2,0.2,0.4,1.2,0.0,0.0,0.4,18.8,20.32,16.279999999999998,20.0,5.64,0.122,0.164,0.28600000000000003,1.328,1154.0,1191.0,10
0,Granit Xhaka,3,Arsenal,MID,5.8,90.0,0.4,0.2,0.4,0.8,0.0,0.0,1.0,22.0,27.080000000000002,21.619999999999997,17.6,6.62,0.148,0.15,0.29800000000000004,1.152,1140.0,1170.0,3
0,Granit Xhaka,3,Arsenal,MID,5.4,86.8,0.4,0.0,0.4,0.8,0.0,0.0,1.0,19.4,22.64,19.62,20.2,6.24,0.148,0.13799999999999998,0.28600000000000003,1.124,1140.0,1165.0,3
0,Granit Xhaka,3,Arsenal,MID,4.2,86.8,0.2,0.0,0.6,0.6,0.0,0.0,0.6,16.8,19.48,16.5,18.4,5.4399999999999995,0.096,0.11000000000000001,0.20600000000000002,0.868,1136.0,1147.0,1
0,Granit Xhaka,3,Arsenal,MID,4.0,71.8,0.2,0.0,0.6,0.2,0.0,0.0,0.6,15.8,16.16,15.079999999999998,14.8,4.6,0.07999999999999999,0.06000000000000001,0.13999999999999999,0.6420000000000001,1106.0,1099.0,5
0,Granit Xhaka,3,Arsenal,MID,4.4,71.8,0.2,0.2,0.4,0.4,0.0,0.0,0.6,17.2,20.799999999999997,20.9,19.0,6.08,0.094,0.07200000000000001,0.16599999999999998,0.484,1122.0,1095.0,2
