,name,id,team,position,mean_points,mean_minutes,mean_goals_scored,mean_assists,mean_clean_sheets,mean_goals_conceded,mean_own_goals,mean_saves,mean_bonus,mean_bps,mean_influence,mean_creativity,mean_threat,mean_ict,mean_xg,mean_xa,mean_xgi,mean_xgc,mean_opp_att,mean_opp_def,latest_points
0,Rob Holding,5,Arsenal,DEF,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.2,0.0,0.0,0.02,0.0,0.0,0.0,0.028100000000000003,1134.0,1132.0,0
0,Kieran Tierney,8,Arsenal,DEF,1.4,34.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,5.6,6.04,3.96,5.8,1.56,0.044020000000000004,0.010508,0.054528,0.22766000000000003,1106.0,1098.0,0
0,Kieran Tierney,8,Arsenal,DEF,1.2,33.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,5.0,4.84,3.9200000000000004,5.8,1.44,0.044020000000000004,0.010498,0.054518,0.22766000000000003,1112.0,1116.0,6
0,Kieran Tierney,8,Arsenal,DEF,2.2,48.4,0.0,0.0,0.2,0.4,0.0,0.0,0.0,9.8,7.44,6.6,6.4,2.04,0.04820000000000001,0.036212,0.084412,0.30276000000000003,1100.0,1118.0,1
0,Kieran Tierney,8,Arsenal,DEF,2.2,51.4,0.0,0.0,0.2,0.4,0.0,0.0,0.0,9.8,8.4,7.279999999999999,7.8,2.34,0.05206000000000001,0.04134,0.0934,0.30112,1128.0,1152.0,1
0,Kieran Tierney,8,Arsenal,DEF,2.0,41.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,8.2,6.08,4.24,6.2,1.6599999999999997,0.048,0.039178,0.08717799999999999,0.2233,1174.0,1198.0,1
0,Kieran Tierney,8,Arsenal,DEF,1.8,25.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,7.4,4.319999999999999,3.6800000000000006,2.0,1.02,0.00804,0.031698,0.039738,0.16698,1164.0,1204.0,1
0,Kieran Tierney,8,Arsenal,DEF,2.0,29.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,8.0,4.76,3.8200000000000003,2.4,1.1199999999999999,0.00804,0.032548,0.040588,0.16698,1156.0,1186.0,1
0,Kieran Tierney,8,Arsenal,DEF,1.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.6399999999999997,1.22,1.8,0.58,0.00386,0.008726000000000001,0.012586000000000003,0.06914000000000001,1150.0,1180.0,1
0,Kieran Tierney,8,Arsenal,DEF,1.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.2399999999999998,0.54,0.4,0.34,0.0,0.0038099999999999996,0.0038099999999999996,0.07622,1148.0,1172.0,0
